Date/Time,Media Description,Media Link
"You uploaded a feed photo on June 10, 2025 at 12:54 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQGgmNBgHZ-vxw/feedshare-shrink_160/B4EZdZ6EB7H0Ag-/0/1749560082810?e=1758758400&v=beta&t=4KvldF0nwAqKJ7GoK2uoGBMAf-RHr_IAEH4tItDrues
"You uploaded a feed photo on June 2, 2025 at 4:44 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQG1v9vGGwLvEA/feedshare-shrink_160/B4EZcxh08AHAAc-/0/1748882640911?e=1758758400&v=beta&t=Dp9zT_mdz64gAgtFwT-9gM8_diwS1m_PboG2khowreQ
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)","Last week marked the conclusion of an incredible journey as I showcased my Capstone project at the Georgia Tech Junior Design Expo in collaboration with Google. This year-long effort was the culmination of hard work, invaluable mentorship, and joyful teamwork.

Our final project, the ChromeOS Converter, is a web application, designed for Chromebooks, that supports file conversions across more than 10 formats with reliable speed and high-quality results. It was an incredible learning experience, allowing me to gain knowledge across multiple areas, including design, prototyping, user research, and software development.
This achievement would not have been possible without the dedication of my phenomenal teammates?Hana Wilson, Husna Jakeer Hussain, Mahibah Saleh, and Samreen Farooqui. I am deeply grateful for the memories we created and the collective determination that brought this vision to life.

I would also like to express my heartfelt gratitude to Joy Robinson and Sam Richard for their professional guidance and unwavering support throughout these two semesters. I would also like to thank Dixie Ching for her insightful career advice and, finally, to our dedicated professors who provided invaluable support throughout this journey.

This experience has been truly transformative, and I am excited to carry the knowledge and skills I have gained into future endeavors!",
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQEvWabndcXfgw/feedshare-shrink_2048_1536/B4EZO84b1XHAAo-/0/1734040731582?e=1758758400&v=beta&t=X-SsSwu-6WMw6cgFb0WM7vAXQQF-m2JQDl7p0_KJAXk
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQHgaCquTjstog/feedshare-shrink_480/B4EZO84b1MHsAg-/0/1734040731517?e=1758758400&v=beta&t=z1g6T3RwU89husz-a-CiQwTkZwSEOciocpDwwjcIUG8
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQFjxB8T3AiUEQ/feedshare-shrink_20/B4EZO84b1THAAw-/0/1734040731766?e=1758758400&v=beta&t=QkU7QuqPdTI8qxtdT3pdIrqo1APvoo7gryMfKSZ5X8M
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQEDAqUWxh1Bwg/feedshare-shrink_800/B4EZO84b02GQAg-/0/1734040731524?e=1758758400&v=beta&t=yH4VM-6aKT35T3h65pMESF91kJzb25FE686F_9vKOmQ
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQEIsTqgKN4rtw/feedshare-shrink_480/B4EZO84b02HsAY-/0/1734040731603?e=1758758400&v=beta&t=-Kuh9FN73Jd7ocWHh83o1fxtlK-o3wR_mHyKtNUgmxU
"You uploaded a feed photo on December 12, 2024 at 9:58 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E22AQFyO2ysPxlcJg/feedshare-shrink_480/B4EZO84b0uHAAY-/0/1734040731537?e=1758758400&v=beta&t=zlJBI3-Sb79_cBsJrYfmTe9AQN2bMDmgOWX_ntg5tIA
"You uploaded a profile photo on April 17, 2024 at 7:35 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E04AQHML5jLfo85FQ/profile-originalphoto-shrink_900_1200/profile-originalphoto-shrink_900_1200/0/1713382514860?e=1758758400&v=beta&t=TvruUo_GqmUO_TJvfHQg01K1bS3Q9QborFBgCECUvTs
"You uploaded a profile photo on April 17, 2024 at 7:35 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E03AQEBJzwvkXawRA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1713382514804?e=1758758400&v=beta&t=L_wIMezmmcih2wAr2GB-lKVnzk0v7re32j7C_X40RtQ
"You uploaded a profile background photo on December 25, 2023 at 6:25 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E04AQHVoNLYFgd33Q/profile-originalbackgroundimage-shrink_396_1584/profile-originalbackgroundimage-shrink_396_1584/0/1703528709479?e=1758758400&v=beta&t=XoF2attIF6wr67O4ATz_lDPT_CzibflA8tfhSv0nLy8
"You uploaded a profile background photo on December 25, 2023 at 6:25 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E16AQFh7E5wSrz4HA/profile-displaybackgroundimage-shrink_200_800/profile-displaybackgroundimage-shrink_200_800/0/1703528715081?e=1758758400&v=beta&t=DfW4HCy07cophMsMdn8gh6K8HtVP51XXJL6nhFjpGLk
"You uploaded a feed photo on July 15, 2021 at 4:29 AM (GMT)","So excited to learn I was Cisco High's ATL Extern of the day!
I've learned so much from the program just 6 days in and met so many inspiring and successful executive speakers/sponsors, wonderful site leads, interns, and other externs. 
Thank you Cisco High for this opportunity where I've already learned so much!
#ciscohigh",https://media.licdn.com/dms/image/v2/C4D22AQGHIksxg1W6ZA/feedshare-shrink_2048_1536/feedshare-shrink_2048_1536/0/1626323378095?e=1758758400&v=beta&t=wVduMPnwZFIBpfAkyCmxAu4XNWbXl0cBtMTureThqVs
