Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Being Positive at Work,"<p>Effective leaders—along with being savvy and good at their job—often have the ability to maintain a positive outlook even when hardships arise. In this course, learn why being positive at work is so beneficial, and explore practical strategies for increasing positivity and dealing with difficult situations. Brenda Bailey-Hughes shares techniques for stopping negative thought patterns and cultivating positive environments, relationships, and habits. Plus, she explains how to remain authentically positive when responding to negative people and situations.</p>

<p>To gain fresh insights and celebrate your positivity wins with other learners, you can participate in the official LinkedIn <a href=""https://www.linkedin.com/groups/12065005"" target=""_blank"">group</a>  for this course.</p>",Course,2022-05-26 01:06 UTC,N/A,false,N/A,
How to Speak Up Against Racism at Work,"Regardless of role or level, employees often want to speak up against offensive/racist comments or questionable practices, but they don't know how to do it. In this course, Dana Brownlee, an expert in communication effectiveness and facilitation, shares specific techniques and practices that anyone can use to address these uncomfortable situations with clarity, focus, and impact.",Course,2021-08-25 21:41 UTC,N/A,false,N/A,
Learning Network Troubleshooting: Practical Network Diagnostics and Solutions,"Troubleshooting network issues is a key skill for a wide range of IT professionals and network professionals. In this course, instructor Robert McMillen teaches you the skills and tools that you need to start network troubleshooting. Robert begins with an overview on how to triage network problems, including basic TCP/IP issues and causes, then steps you through some common home networking and wireless issues. He covers the most common issues with corporate wireless networks and how to troubleshoot Wi-Fi interference. Robert explains different types of VPN, common errors you may encounter, and how to fix them. After showing you some network tools that administrators need to know, he discusses how to fix problems you may run into with routing, switching, and firewalls.",Course,2021-07-16 20:20 UTC,N/A,false,N/A,
PyTorch Essential Training: Deep Learning,"<p>PyTorch is the most flexible and expressive library for deep learning, and offers simple Python API, GPU support, and flexibility. It’s designed to load data, apply transforms, and build deep learning models with just a few lines of code. Many machine learning developers and researchers use PyTorch to accelerate deep learning research, experimentation, and prototyping. In this course, software developer Terezija Semenski teaches you the important features of PyTorch with a hands-on approach to help you develop the skills you need to dive into your deep learning projects.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-06-29 02:48 UTC,N/A,false,N/A,
Integrating Generative AI into the Creative Process,"<p>For creatives, artificial intelligence can’t do your job for you—nor should you want it to. However, proper use of AI can help you jumpstart your creative processive and boost your productivity. In this course, Dave Birss shows you how you can use AI to develop your creative skills, from enhancing your creativity and visualization skills to improving your writing. Then, learn how AI can inspire your work by providing better ingredients for fresh ideas. He also explains how to use AI to spark your imagination, as well as practical uses of AI that can help you implement your ideas. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/human-skills-in-the-age-of-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-08-23 21:12 UTC,N/A,false,N/A,
Leading with Fearless Mindfulness,"Be a leader that can rise to challenges. Captain Sandra Yawn is a world-renowned captain with over 28 years of experience. Yawn’s love of the ocean propelled her to achieve in a male-dominated industry. In this course, Captain Yawn tells her personal stories and defines the qualities that make up a great captain and overall leader. Discover how to hire and manage teams and how to delegate tasks. Sandy encourages you to create a strong leadership framework so that you can find solutions to the most difficult problems and situations that arise—and understand how to navigate clients to ensure top-level customer service while maintaining your cool. As an exciting bonus element to the course, you can learn about Sandy’s favorite destinations and her go-to travel advice.<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2021-09-07 19:21 UTC,N/A,false,N/A,
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2025-08-03 22:13 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-06-23 11:43 UTC,2025-06-02 12:24 UTC,false,N/A,
Git Essential Training (2023),"If you’ve ever wondered why someone should use Git or how to use it for version control, this is a great course to get started. Azure MVP and GitHub Star Barbara Forbes guides you through the installation process, the Git workflow, setting up and pushing code into a repo, and committing changes, all with a focus on version control and how Git can help you achieve it. Find out why people use Git. Learn how Git works, locally or through a provider, and how you can get it installed, configured, and running the way you need it to work. Follow the full process of pushing your code with Git, then explore ways to make changes to files. Discover important concepts in Git, like how to ignore files you don’t want to include, how branching can help you with development, what should be in a commit, and how to troubleshoot if you get into trouble. Plus, get current instruction on using GitHub Star and Microsoft MVP.",Course,2025-08-24 19:56 UTC,N/A,false,N/A,
The Spectrum of Gender Identity in the Workplace,"Understanding the complexities of gender can help in efforts to foster a more inclusive work environment. How is gender defined? Who defines it? How has the definition changed over time? These questions and many more point far beyond the binary. Join instructor Cory Wade in this approachable new course that explores the concept of gender, how it’s historically been defined, how it’s being redefined in today’s world of work, and how to create an environment where everyone has a voice and feels a sense of belonging in the workplace, no matter how they identify as a person. Along the way, Cory offers insights on core concepts such as the gender spectrum, gender expression, gender affirmation, the origin of gender, gender politics, gender variant empathy, common misconceptions of gender, allyship, and more.",Course,2025-04-11 16:23 UTC,N/A,false,N/A,
